Time,Live_Nodes,Live_Percentage
0,10,100.0
1,10,100.0
2,10,100.0
3,10,100.0
4,10,100.0
5,10,100.0
6,10,100.0
7,10,100.0
8,10,100.0
9,10,100.0
10,10,100.0
11,10,100.0
12,10,100.0
13,10,100.0
14,10,100.0
15,10,100.0
16,10,100.0
17,10,100.0
18,10,100.0
19,10,100.0
20,10,100.0
21,10,100.0
22,10,100.0
23,10,100.0
24,10,100.0
25,10,100.0
26,10,100.0
27,10,100.0
28,10,100.0
29,10,100.0
30,10,100.0
31,10,100.0
32,10,100.0
33,10,100.0
34,10,100.0
35,10,100.0
36,10,100.0
37,10,100.0
38,10,100.0
39,10,100.0
40,10,100.0
41,10,100.0
42,10,100.0
43,10,100.0
44,10,100.0
45,10,100.0
46,10,100.0
47,10,100.0
48,10,100.0
49,10,100.0
50,10,100.0
51,10,100.0
52,10,100.0
53,10,100.0
54,10,100.0
55,10,100.0
56,10,100.0
57,10,100.0
58,10,100.0
59,10,100.0
60,10,100.0
61,10,100.0
62,10,100.0
63,10,100.0
64,10,100.0
65,10,100.0
66,10,100.0
67,10,100.0
68,10,100.0
69,10,100.0
70,10,100.0
71,10,100.0
72,10,100.0
73,10,100.0
74,10,100.0
75,10,100.0
76,10,100.0
77,10,100.0
78,10,100.0
79,10,100.0
80,10,100.0
81,10,100.0
82,10,100.0
83,10,100.0
84,10,100.0
85,10,100.0
86,10,100.0
87,10,100.0
88,10,100.0
89,10,100.0
90,10,100.0
91,10,100.0
92,10,100.0
93,10,100.0
94,10,100.0
95,10,100.0
96,10,100.0
97,10,100.0
98,10,100.0
99,10,100.0
100,10,100.0
101,10,100.0
102,10,100.0
103,10,100.0
104,10,100.0
105,10,100.0
106,10,100.0
107,10,100.0
108,10,100.0
109,10,100.0
110,10,100.0
111,10,100.0
112,10,100.0
113,10,100.0
114,10,100.0
115,10,100.0
116,10,100.0
117,10,100.0
118,10,100.0
119,10,100.0
120,10,100.0
121,10,100.0
122,10,100.0
123,10,100.0
124,10,100.0
125,10,100.0
126,10,100.0
127,10,100.0
128,10,100.0
129,10,100.0
130,10,100.0
131,10,100.0
132,10,100.0
133,10,100.0
134,10,100.0
135,10,100.0
136,10,100.0
137,10,100.0
138,10,100.0
139,10,100.0
140,10,100.0
141,10,100.0
142,10,100.0
143,10,100.0
144,10,100.0
145,10,100.0
146,10,100.0
147,10,100.0
148,10,100.0
149,10,100.0
150,10,100.0
151,10,100.0
152,10,100.0
153,10,100.0
154,10,100.0
155,10,100.0
156,10,100.0
157,10,100.0
158,10,100.0
159,10,100.0
160,10,100.0
161,10,100.0
162,10,100.0
163,10,100.0
164,10,100.0
165,10,100.0
166,10,100.0
167,10,100.0
168,10,100.0
169,10,100.0
170,10,100.0
171,10,100.0
172,10,100.0
173,10,100.0
174,10,100.0
175,10,100.0
176,10,100.0
177,10,100.0
178,10,100.0
179,10,100.0
180,10,100.0
181,10,100.0
182,10,100.0
183,10,100.0
184,10,100.0
185,10,100.0
186,10,100.0
187,10,100.0
188,10,100.0
189,10,100.0
190,10,100.0
191,10,100.0
192,10,100.0
193,10,100.0
194,10,100.0
195,10,100.0
196,10,100.0
197,10,100.0
198,10,100.0
199,10,100.0
200,10,100.0
201,10,100.0
202,10,100.0
203,10,100.0
204,10,100.0
205,10,100.0
206,10,100.0
207,10,100.0
208,10,100.0
209,10,100.0
210,10,100.0
211,10,100.0
212,10,100.0
213,10,100.0
214,10,100.0
215,10,100.0
216,10,100.0
217,10,100.0
218,10,100.0
219,10,100.0
220,10,100.0
221,10,100.0
222,10,100.0
223,10,100.0
224,10,100.0
225,10,100.0
226,10,100.0
227,10,100.0
228,10,100.0
229,10,100.0
230,10,100.0
231,10,100.0
232,10,100.0
233,10,100.0
234,10,100.0
235,10,100.0
236,10,100.0
237,10,100.0
238,10,100.0
239,10,100.0
240,10,100.0
241,10,100.0
242,10,100.0
243,10,100.0
244,10,100.0
245,10,100.0
246,10,100.0
247,10,100.0
248,10,100.0
249,10,100.0
250,10,100.0
251,10,100.0
252,10,100.0
253,10,100.0
254,10,100.0
255,10,100.0
256,10,100.0
257,10,100.0
258,10,100.0
259,10,100.0
260,10,100.0
261,10,100.0
262,10,100.0
263,10,100.0
264,10,100.0
265,10,100.0
266,10,100.0
267,10,100.0
268,10,100.0
269,10,100.0
270,10,100.0
271,10,100.0
272,10,100.0
273,10,100.0
274,10,100.0
275,10,100.0
276,10,100.0
277,10,100.0
278,10,100.0
279,10,100.0
280,10,100.0
281,10,100.0
282,10,100.0
283,10,100.0
284,10,100.0
285,10,100.0
286,10,100.0
287,10,100.0
288,10,100.0
289,10,100.0
290,10,100.0
291,10,100.0
292,10,100.0
293,10,100.0
294,10,100.0
295,10,100.0
296,10,100.0
297,10,100.0
298,10,100.0
299,10,100.0
300,10,100.0
301,10,100.0
302,10,100.0
303,10,100.0
304,10,100.0
305,10,100.0
306,10,100.0
307,10,100.0
308,10,100.0
309,10,100.0
310,10,100.0
311,10,100.0
312,10,100.0
313,10,100.0
314,10,100.0
315,10,100.0
316,10,100.0
317,10,100.0
318,10,100.0
319,10,100.0
320,10,100.0
321,10,100.0
322,10,100.0
323,10,100.0
324,10,100.0
325,10,100.0
326,10,100.0
327,10,100.0
328,10,100.0
329,10,100.0
330,10,100.0
331,10,100.0
332,10,100.0
333,10,100.0
334,10,100.0
335,10,100.0
336,10,100.0
337,10,100.0
338,10,100.0
339,10,100.0
340,10,100.0
341,10,100.0
342,10,100.0
343,10,100.0
344,10,100.0
345,10,100.0
346,10,100.0
347,10,100.0
348,10,100.0
349,10,100.0
350,10,100.0
351,10,100.0
352,10,100.0
353,10,100.0
354,10,100.0
355,10,100.0
356,10,100.0
357,10,100.0
358,10,100.0
359,10,100.0
360,10,100.0
361,10,100.0
362,10,100.0
363,10,100.0
364,10,100.0
365,10,100.0
366,10,100.0
367,10,100.0
368,10,100.0
369,10,100.0
370,10,100.0
371,10,100.0
372,10,100.0
373,10,100.0
374,10,100.0
375,10,100.0
376,10,100.0
377,10,100.0
378,10,100.0
379,10,100.0
380,10,100.0
381,10,100.0
382,10,100.0
383,10,100.0
384,10,100.0
385,10,100.0
386,10,100.0
387,10,100.0
388,10,100.0
389,10,100.0
390,10,100.0
391,10,100.0
392,10,100.0
393,10,100.0
394,10,100.0
395,10,100.0
396,10,100.0
397,10,100.0
398,10,100.0
399,10,100.0
400,10,100.0
401,10,100.0
402,10,100.0
403,10,100.0
404,10,100.0
405,10,100.0
406,10,100.0
407,10,100.0
408,10,100.0
409,10,100.0
410,10,100.0
411,10,100.0
412,10,100.0
413,10,100.0
414,10,100.0
415,10,100.0
416,10,100.0
417,10,100.0
418,10,100.0
419,10,100.0
420,10,100.0
421,10,100.0
422,10,100.0
423,10,100.0
424,10,100.0
425,10,100.0
426,10,100.0
427,10,100.0
428,10,100.0
429,10,100.0
430,10,100.0
431,10,100.0
432,10,100.0
433,10,100.0
434,10,100.0
435,10,100.0
436,10,100.0
437,10,100.0
438,10,100.0
439,10,100.0
440,10,100.0
441,10,100.0
442,10,100.0
443,10,100.0
444,10,100.0
445,10,100.0
446,10,100.0
447,10,100.0
