Time,Live_Nodes,Live_Percentage
0,50,100.0
1,50,100.0
2,50,100.0
3,50,100.0
4,50,100.0
5,50,100.0
6,50,100.0
7,50,100.0
8,50,100.0
9,50,100.0
10,50,100.0
11,50,100.0
12,50,100.0
13,50,100.0
14,50,100.0
15,50,100.0
16,50,100.0
17,50,100.0
18,50,100.0
19,50,100.0
20,50,100.0
21,50,100.0
22,50,100.0
23,50,100.0
24,50,100.0
25,50,100.0
26,50,100.0
27,50,100.0
28,50,100.0
29,50,100.0
30,50,100.0
31,50,100.0
32,50,100.0
33,50,100.0
34,50,100.0
35,50,100.0
36,50,100.0
37,50,100.0
38,50,100.0
39,50,100.0
40,50,100.0
41,50,100.0
42,50,100.0
43,50,100.0
44,50,100.0
45,50,100.0
46,50,100.0
47,50,100.0
48,50,100.0
49,50,100.0
50,50,100.0
51,50,100.0
52,50,100.0
53,50,100.0
54,50,100.0
55,50,100.0
56,50,100.0
57,50,100.0
58,50,100.0
59,50,100.0
60,50,100.0
61,50,100.0
62,50,100.0
63,50,100.0
64,50,100.0
65,50,100.0
66,50,100.0
67,50,100.0
68,50,100.0
69,50,100.0
70,50,100.0
71,50,100.0
72,50,100.0
73,50,100.0
74,50,100.0
75,50,100.0
76,50,100.0
77,50,100.0
78,50,100.0
79,50,100.0
80,50,100.0
81,50,100.0
82,50,100.0
83,50,100.0
84,50,100.0
85,50,100.0
86,50,100.0
87,50,100.0
88,50,100.0
89,50,100.0
90,50,100.0
91,50,100.0
92,50,100.0
93,50,100.0
94,50,100.0
95,50,100.0
96,50,100.0
97,50,100.0
98,50,100.0
99,50,100.0
100,50,100.0
101,50,100.0
102,50,100.0
103,50,100.0
104,50,100.0
105,50,100.0
106,50,100.0
107,50,100.0
108,50,100.0
109,50,100.0
110,50,100.0
111,50,100.0
112,50,100.0
113,50,100.0
114,50,100.0
115,50,100.0
116,50,100.0
117,50,100.0
118,50,100.0
119,50,100.0
120,50,100.0
121,50,100.0
122,50,100.0
123,50,100.0
124,50,100.0
125,50,100.0
126,50,100.0
127,50,100.0
128,50,100.0
129,50,100.0
130,50,100.0
131,50,100.0
132,50,100.0
133,50,100.0
134,50,100.0
135,50,100.0
136,50,100.0
137,50,100.0
138,50,100.0
139,50,100.0
140,50,100.0
141,50,100.0
142,50,100.0
143,50,100.0
144,50,100.0
145,50,100.0
146,50,100.0
147,50,100.0
148,50,100.0
149,50,100.0
150,50,100.0
151,50,100.0
152,50,100.0
153,50,100.0
154,50,100.0
155,50,100.0
156,50,100.0
